cohort,batch,i,minp_below_001
HNSC,39,3,92
HNSC,39,4,58
HNSC,39,5,159
HNSC,39,6,340
HNSC,39,7,86
HNSC,39,8,85
HNSC,39,9,140
HNSC,40,0,74
HNSC,40,1,78
HNSC,40,2,51
HNSC,40,3,73
HNSC,40,4,191
HNSC,40,5,38
HNSC,40,6,70
HNSC,40,7,46
HNSC,40,8,580
HNSC,40,9,82
HNSC,41,0,200
HNSC,41,1,127
HNSC,41,2,204
HNSC,41,3,99
HNSC,41,4,100
HNSC,41,5,52
HNSC,41,6,415
HNSC,41,7,106
HNSC,41,8,86
HNSC,41,9,423
HNSC,42,0,147
HNSC,42,1,101
HNSC,42,2,189
HNSC,42,3,192
HNSC,42,4,41
HNSC,42,5,105
HNSC,42,6,93
HNSC,42,7,58
HNSC,42,8,399
HNSC,42,9,196
HNSC,43,0,75
HNSC,43,1,179
HNSC,43,2,347
HNSC,43,3,238
HNSC,43,4,33
HNSC,43,5,131
HNSC,43,6,123
HNSC,43,7,601
HNSC,43,8,141
HNSC,43,9,193
HNSC,44,0,72
HNSC,44,1,328
HNSC,44,2,80
HNSC,44,3,188
HNSC,44,4,107
HNSC,44,5,192
HNSC,44,6,306
HNSC,44,7,430
HNSC,44,8,93
HNSC,44,9,990
HNSC,45,0,78
HNSC,45,1,194
HNSC,45,2,224
HNSC,45,3,90
HNSC,45,4,161
HNSC,45,5,75
HNSC,45,6,123
HNSC,45,7,617
HNSC,45,8,240
HNSC,45,9,290
HNSC,46,0,185
HNSC,46,1,242
HNSC,46,2,123
HNSC,46,3,253
HNSC,46,4,639
HNSC,46,5,203
HNSC,46,6,127
HNSC,46,7,58
HNSC,46,8,131
HNSC,46,9,212
HNSC,47,0,110
HNSC,47,1,178
HNSC,47,2,100
HNSC,47,3,327
HNSC,47,4,189
HNSC,47,5,95
HNSC,47,6,215
HNSC,47,7,81
HNSC,47,8,102
HNSC,47,9,105
HNSC,48,0,125
HNSC,48,1,220
HNSC,48,2,183
HNSC,48,3,265
HNSC,48,4,174
HNSC,48,5,138
HNSC,48,6,659
HNSC,48,7,136
HNSC,48,8,57
HNSC,48,9,73
HNSC,49,0,299
HNSC,49,1,131
HNSC,49,2,187
HNSC,49,3,76
HNSC,49,4,221
HNSC,49,5,327
HNSC,49,6,93
HNSC,49,7,141
HNSC,49,8,179
HNSC,49,9,240
HNSC,50,0,170
HNSC,50,1,116
HNSC,50,2,67
HNSC,50,3,65
HNSC,50,4,283
HNSC,50,5,766
HNSC,50,6,432
HNSC,50,7,162
HNSC,50,8,72
HNSC,50,9,363
HNSC,51,0,289
HNSC,51,1,176
HNSC,51,2,157
HNSC,51,3,180
HNSC,51,4,669
HNSC,51,5,90
HNSC,51,6,913
HNSC,51,7,98
HNSC,51,8,203
HNSC,51,9,81
HNSC,52,0,132
HNSC,52,1,376
HNSC,52,2,255
HNSC,52,3,97
HNSC,52,4,99
HNSC,52,5,179
HNSC,52,6,220
HNSC,52,7,189
HNSC,52,8,450
HNSC,52,9,110
HNSC,53,0,100
HNSC,53,1,112
HNSC,53,2,182
HNSC,53,3,317
HNSC,53,4,36
HNSC,53,5,245
HNSC,53,6,190
HNSC,53,7,174
HNSC,53,8,158
HNSC,53,9,110
HNSC,54,0,68
HNSC,54,1,242
HNSC,54,2,75
HNSC,54,3,655
HNSC,54,4,368
HNSC,54,5,238
HNSC,54,6,254
HNSC,54,7,3008
HNSC,54,8,589
HNSC,54,9,168
HNSC,55,0,109
HNSC,55,1,206
HNSC,55,2,156
HNSC,55,3,100
HNSC,55,4,153
HNSC,55,5,157
HNSC,55,6,131
HNSC,55,7,291
HNSC,55,8,57
HNSC,55,9,88
HNSC,56,0,141
HNSC,56,1,46
HNSC,56,2,155
HNSC,56,3,128
HNSC,56,4,129
HNSC,56,5,547
HNSC,56,6,56
HNSC,56,7,143
HNSC,56,8,230
HNSC,56,9,98
HNSC,57,0,106
HNSC,57,1,91
HNSC,57,2,169
HNSC,57,3,83
HNSC,57,4,319
HNSC,57,5,41
HNSC,57,6,155
HNSC,57,7,91
HNSC,57,8,27
HNSC,57,9,263
HNSC,58,0,178
HNSC,58,1,294
HNSC,58,2,118
HNSC,58,3,125
HNSC,58,4,1353
HNSC,58,5,76
HNSC,58,6,101
HNSC,58,7,195
HNSC,58,8,351
HNSC,58,9,402
HNSC,59,0,72
HNSC,59,1,94
HNSC,59,2,153
HNSC,59,3,80
HNSC,59,4,217
HNSC,59,5,86
HNSC,59,6,148
HNSC,59,7,232
HNSC,59,8,175
HNSC,59,9,201
HNSC,60,0,379
HNSC,60,1,89
HNSC,60,2,417
HNSC,60,3,589
HNSC,60,4,111
HNSC,60,5,152
HNSC,60,6,162
HNSC,60,7,169
HNSC,60,8,90
HNSC,60,9,263
HNSC,61,0,47
HNSC,61,1,266
HNSC,61,2,86
HNSC,61,3,124
HNSC,61,4,70
HNSC,61,5,593
HNSC,61,6,161
HNSC,61,7,231
HNSC,61,8,290
HNSC,61,9,50
HNSC,62,0,167
HNSC,62,1,638
HNSC,62,2,96
HNSC,62,3,226
HNSC,62,4,111
HNSC,62,5,113
HNSC,62,6,112
HNSC,62,7,291
HNSC,62,8,162
HNSC,62,9,171
HNSC,63,0,238
HNSC,63,1,118
HNSC,63,2,108
HNSC,63,3,351
HNSC,63,4,195
HNSC,63,5,698
HNSC,63,6,71
HNSC,63,7,167
HNSC,63,8,131
HNSC,63,9,131
HNSC,64,0,571
HNSC,64,1,166
HNSC,64,2,294
HNSC,64,3,176
HNSC,64,4,628
HNSC,64,5,161
HNSC,64,6,193
HNSC,64,7,154
HNSC,64,8,202
HNSC,64,9,174
HNSC,65,0,72
HNSC,65,1,143
HNSC,65,2,65
HNSC,65,3,162
HNSC,65,4,201
HNSC,65,5,127
HNSC,65,6,92
HNSC,65,7,72
HNSC,65,8,279
HNSC,65,9,352
HNSC,66,0,243
HNSC,66,1,71
HNSC,66,2,76
HNSC,66,3,235
HNSC,66,4,244
HNSC,66,5,203
HNSC,66,6,107
HNSC,66,7,79
HNSC,66,8,39
HNSC,66,9,290
HNSC,67,0,244
HNSC,67,1,368
HNSC,67,2,741
HNSC,67,3,310
HNSC,67,4,55
HNSC,67,5,160
HNSC,67,6,77
HNSC,67,7,79
HNSC,67,8,137
HNSC,67,9,82
HNSC,68,0,238
HNSC,68,1,43
HNSC,68,2,106
