cohort,batch,i,minp_below_001
CESC,54,7,101
CESC,54,8,192
CESC,54,9,152
CESC,55,0,135
CESC,55,1,214
CESC,55,2,214
CESC,55,3,67
CESC,55,4,214
CESC,55,5,120
CESC,55,6,263
CESC,55,7,96
CESC,55,8,133
CESC,55,9,206
CESC,56,0,187
CESC,56,1,178
CESC,56,2,215
CESC,56,3,137
CESC,56,4,138
CESC,56,5,189
CESC,56,6,152
CESC,56,7,123
CESC,56,8,150
CESC,56,9,1018
CESC,57,0,319
CESC,57,1,298
CESC,57,2,95
CESC,57,3,203
CESC,57,4,267
CESC,57,5,336
CESC,57,6,158
CESC,57,7,122
CESC,57,8,119
CESC,57,9,124
CESC,58,0,237
CESC,58,1,542
CESC,58,2,98
CESC,58,3,482
CESC,58,4,499
CESC,58,5,55
CESC,58,6,849
CESC,58,7,132
CESC,58,8,71
CESC,58,9,100
CESC,59,0,729
CESC,59,1,74
CESC,59,2,219
CESC,59,3,210
CESC,59,4,179
CESC,59,5,115
CESC,59,6,308
CESC,59,7,148
CESC,59,8,56
CESC,59,9,66
CESC,60,0,130
CESC,60,1,133
CESC,60,2,297
CESC,60,3,524
CESC,60,4,104
CESC,60,5,258
CESC,60,6,203
CESC,60,7,1134
CESC,60,8,97
CESC,60,9,266
CESC,61,0,228
CESC,61,1,121
CESC,61,2,65
CESC,61,3,253
CESC,61,4,282
CESC,61,5,301
CESC,61,6,165
CESC,61,7,185
CESC,61,8,499
CESC,61,9,128
CESC,62,0,266
CESC,62,1,64
CESC,62,2,159
CESC,62,3,524
CESC,62,4,128
CESC,62,5,78
CESC,62,6,106
CESC,62,7,93
CESC,62,8,103
CESC,62,9,122
CESC,63,0,137
CESC,63,1,180
CESC,63,2,110
CESC,63,3,331
CESC,63,4,109
CESC,63,5,245
CESC,63,6,142
CESC,63,7,102
CESC,63,8,205
CESC,63,9,122
CESC,64,0,409
CESC,64,1,228
CESC,64,2,850
CESC,64,3,332
CESC,64,4,422
CESC,64,5,220
CESC,64,6,169
CESC,64,7,117
CESC,64,8,142
CESC,64,9,128
CESC,65,0,83
CESC,65,1,225
CESC,65,2,477
CESC,65,3,187
CESC,65,4,188
CESC,65,5,128
CESC,65,6,75
CESC,65,7,109
CESC,65,8,512
CESC,65,9,285
CESC,66,0,595
CESC,66,1,256
CESC,66,2,683
CESC,66,3,86
CESC,66,4,140
CESC,66,5,83
CESC,66,6,390
CESC,66,7,88
CESC,66,8,119
CESC,66,9,225
CESC,67,0,109
CESC,67,1,512
CESC,67,2,208
CESC,67,3,457
CESC,67,4,163
CESC,67,5,391
CESC,67,6,533
CESC,67,7,258
CESC,67,8,235
CESC,67,9,336
CESC,68,0,99
CESC,68,1,189
CESC,68,2,92
CESC,68,3,279
CESC,68,4,125
CESC,68,5,159
CESC,68,6,166
CESC,68,7,83
CESC,68,8,82
CESC,68,9,76
CESC,69,0,941
CESC,69,1,158
CESC,69,2,337
CESC,69,3,223
CESC,69,4,211
CESC,69,5,406
CESC,69,6,79
CESC,69,7,75
CESC,69,8,64
CESC,69,9,347
CESC,70,0,260
CESC,70,1,186
CESC,70,2,112
CESC,70,3,1277
CESC,70,4,352
CESC,70,5,179
CESC,70,6,114
CESC,70,7,107
CESC,70,8,100
CESC,70,9,166
CESC,71,0,82
CESC,71,1,150
CESC,71,2,137
CESC,71,3,287
CESC,71,4,226
CESC,71,5,363
CESC,71,6,104
CESC,71,7,142
CESC,71,8,232
CESC,71,9,177
CESC,72,0,335
CESC,72,1,248
CESC,72,2,422
CESC,72,3,239
CESC,72,4,122
CESC,72,5,207
CESC,72,6,84
CESC,72,7,157
CESC,72,8,215
CESC,72,9,376
CESC,73,0,287
CESC,73,1,317
CESC,73,2,557
CESC,73,3,219
CESC,73,4,216
CESC,73,5,97
CESC,73,6,234
CESC,73,7,114
CESC,73,8,428
CESC,73,9,238
CESC,74,0,158
CESC,74,1,70
CESC,74,2,157
CESC,74,3,325
CESC,74,4,314
CESC,74,5,346
CESC,74,6,76
CESC,74,7,119
CESC,74,8,143
CESC,74,9,125
CESC,75,0,179
CESC,75,1,434
CESC,75,2,112
CESC,75,3,1341
CESC,75,4,111
CESC,75,5,133
CESC,75,6,130
CESC,75,7,464
CESC,75,8,101
CESC,75,9,239
CESC,76,0,112
CESC,76,1,54
CESC,76,2,561
CESC,76,3,73
CESC,76,4,622
CESC,76,5,234
CESC,76,6,147
CESC,76,7,112
CESC,76,8,143
CESC,76,9,64
CESC,77,0,350
CESC,77,1,204
CESC,77,2,127
CESC,77,3,92
CESC,77,4,94
CESC,77,5,114
CESC,77,6,205
CESC,77,7,158
CESC,77,8,530
CESC,77,9,116
CESC,78,0,314
CESC,78,1,349
CESC,78,2,267
CESC,78,3,176
CESC,78,4,207
CESC,78,5,189
CESC,78,6,180
CESC,78,7,133
CESC,78,8,201
CESC,78,9,758
CESC,79,0,139
CESC,79,1,188
CESC,79,2,141
CESC,79,3,117
CESC,79,4,184
CESC,79,5,202
CESC,79,6,201
CESC,79,7,305
CESC,79,8,201
CESC,79,9,91
CESC,80,0,133
CESC,80,1,220
CESC,80,2,630
CESC,80,3,368
CESC,80,4,91
CESC,80,5,213
CESC,80,6,139
CESC,80,7,677
CESC,80,8,202
CESC,80,9,182
CESC,81,0,129
CESC,81,1,269
CESC,81,2,183
CESC,81,3,216
CESC,81,4,318
CESC,81,5,269
CESC,81,6,136
CESC,81,7,120
CESC,81,8,70
CESC,81,9,67
CESC,82,0,189
CESC,82,1,206
CESC,82,2,67
CESC,82,3,179
CESC,82,4,82
CESC,82,5,134
CESC,82,6,81
CESC,82,7,199
CESC,82,8,126
CESC,82,9,80
CESC,83,0,322
CESC,83,1,73
CESC,83,2,247
CESC,83,3,187
CESC,83,4,202
CESC,83,5,271
CESC,83,6,114
CESC,83,7,283
CESC,83,8,509
CESC,83,9,57
CESC,84,0,61
CESC,84,1,142
CESC,84,2,1557
CESC,84,3,125
CESC,84,4,127
CESC,84,5,153
CESC,84,6,104
CESC,84,7,166
CESC,84,8,99
CESC,84,9,65
CESC,85,0,94
CESC,85,1,245
CESC,85,2,217
CESC,85,3,115
CESC,85,4,59
CESC,85,5,55
CESC,85,6,107
CESC,85,7,239
CESC,85,8,665
CESC,85,9,187
CESC,86,0,181
CESC,86,1,66
CESC,86,2,263
CESC,86,3,93
CESC,86,4,358
CESC,86,5,614
CESC,86,6,306
CESC,86,7,335
CESC,86,8,157
CESC,86,9,195
CESC,87,0,184
CESC,87,1,148
CESC,87,2,65
CESC,87,3,79
CESC,87,4,170
CESC,87,5,124
CESC,87,6,103
CESC,87,7,315
CESC,87,8,651
